Code,Description1,Description2,Last_Updated
LL001007,Lease/rental (use the 'll' modifier when dme equipment rental is to be applied  Lease/rental (appld to pur),Lease/rental (appld to pur),09-09-2025
LL002008,against the purchase price),,09-09-2025
LM001007,Left main coronary artery                                                       Left main coronary artery,Left main coronary artery,09-09-2025
LR001007,Laboratory round trip                                                           Laboratory round trip,Laboratory round trip,09-09-2025
LS001007,Fda-monitored intraocular lens implant                                          Fda-monitored iol implant,Fda-monitored iol implant            65-7,09-09-2025
LT001007,Left side (used to identify procedures performed on the left side of the body)  Left side,Left side,09-09-2025
LU001007,Fractionated payment                                                            Fractionated payment,Fractionated payment,09-09-2025
M2001007,Medicare secondary payer (msp)                                                  Medicare secondary payer,Medicare secondary payer,09-09-2025
MA001007,Ordering professional is not required to consult a clinical decision support    Emer med cond susp/confirm,Emer med cond susp/confirm,09-09-2025
MA002008,mechanism due to service being rendered to a patient with a suspected or,,09-09-2025
MA003008,confirmed emergency medical condition,,09-09-2025
MB001007,"Ordering professional is not required to consult a clinical decision support    Auc hardship, insuf internet","Auc hardship, insuf internet",09-09-2025
MB002008,mechanism due to the significant hardship exception of insufficient internet,,09-09-2025
MB003008,access,,09-09-2025
MC001007,"Ordering professional is not required to consult a clinical decision support    Auc hardship, vendor issues","Auc hardship, vendor issues",09-09-2025
MC002008,mechanism due to the significant hardship exception of electronic health record,,09-09-2025
MC003008,or clinical decision support mechanism vendor issues,,09-09-2025
MD001007,"Ordering professional is not required to consult a clinical decision support    Auc hardship, extreme circ","Auc hardship, extreme circ",09-09-2025
MD002008,mechanism due to the significant hardship exception of extreme and,,09-09-2025
MD003008,uncontrollable circumstances,,09-09-2025
ME001007,The order for this service adheres to appropriate use criteria in the clinical  Order adheres to auc,Order adheres to auc,09-09-2025
ME002008,decision support mechanism consulted by the ordering professional,,09-09-2025
MF001007,The order for this service does not adhere to the appropriate use criteria in   Order does not adhere to auc,Order does not adhere to auc,09-09-2025
MF002008,the clinical decision support mechanism consulted by the ordering professional,,09-09-2025
MG001007,The order for this service does not have applicable appropriate use criteria in Auc not applicable to order,Auc not applicable to order,09-09-2025
MG002008,the qualified clinical decision support mechanism consulted by the ordering,,09-09-2025
MG003008,professional,,09-09-2025
MH001007,Unknown if ordering professional consulted a clinical decision support          Auc consult not provided,Auc consult not provided,09-09-2025
MH002008,"mechanism for this service, related information was not provided to the",,09-09-2025
MH003008,furnishing professional or provider,,09-09-2025
MS001007,Six month maintenance and servicing fee for reasonable and necessary parts and  6-mo maint/svc fee parts/lbr,6-mo maint/svc fee parts/lbr,09-09-2025
MS002008,labor which are not covered under any manufacturer or supplier warranty,,09-09-2025
N1001007,Group 1 oxygen coverage criteria met                                            Group 1 oxygen cov crit met,Group 1 oxygen cov crit met,09-09-2025
N2001007,Group 2 oxygen coverage criteria met                                            Group 2 oxygen cov crit met,Group 2 oxygen cov crit met,09-09-2025
N3001007,Group 3 oxygen coverage criteria met                                            Group 3 oxygen cov crit met,Group 3 oxygen cov crit met,09-09-2025
NB001007,"Nebulizer system, any type, fda-cleared for use with specific drug              Drug specific nebulizer",Drug specific nebulizer,09-09-2025
NR001007,New when rented (use the 'nr' modifier when dme which was new at the time of    New when rented,New when rented,09-09-2025
NR002008,rental is subsequently purchased),,09-09-2025
NU001007,New equipment                                                                   New equipment,New equipment,09-09-2025
P1001007,A normal healthy patient                                                        Normal healthy patient,Normal healthy patient,09-09-2025
P2001007,A patient with mild systemic disease                                            Patient w/mild syst disease,Patient w/mild syst disease,09-09-2025
P3001007,A patient with severe systemic disease                                          Patient w/severe sys disease,Patient w/severe sys disease,09-09-2025
P4001007,A patient with severe systemic disease that is a constant threat to life        Pt w/sev sys dis threat life,Pt w/sev sys dis threat life,09-09-2025
P5001007,A moribund patient who is not expected to survive without the operation         Pt not expect surv w/o oper,Pt not expect surv w/o oper,09-09-2025
P6001007,A declared brain-dead patient whose organs are being removed for donor purposes Brain-dead pt organs removed,Brain-dead pt organs removed,09-09-2025
PA001007,"Surgical or other invasive procedure on wrong body part                         Surgery, wrong body part","Surgery, wrong body part",09-09-2025
PB001007,"Surgical or other invasive procedure on wrong patient                           Surgery, wrong patient","Surgery, wrong patient",09-09-2025
PC001007,Wrong surgery or other invasive procedure on patient                            Wrong surgery on patient,Wrong surgery on patient,09-09-2025
PD001007,Diagnostic or related non diagnostic item or service provided in a wholly owned Inp admit w/in 3 days,Inp admit w/in 3 days,09-09-2025
PD002008,or operated entity to a patient who is admitted as an inpatient within 3 days,,09-09-2025
PI001007,Positron emission tomography (pet) or pet/computed tomography (ct) to inform    Pet tumor init tx strat,Pet tumor init tx strat,09-09-2025
PI002008,the initial treatment strategy of tumors that are biopsy proven or strongly,,09-09-2025
PI003008,suspected of being cancerous based on other diagnostic testing,,09-09-2025
PL001007,Progressive addition lenses                                                     Progressive addition lenses,Progressive addition lenses,09-09-2025
PM001007,Post mortem                                                                     Post mortem,Post mortem,09-09-2025
